Date : 2025-06-26 19:26:32
Directory : c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework
Total : 108 files,  6849 codes, 207 comments, 892 blanks, all 7948 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        105 |      6,404 |        198 |        888 |      7,490 |
| XML      |          1 |        427 |          7 |          0 |        434 |
| PostCSS  |          1 |         13 |          2 |          4 |         19 |
| JSON     |          1 |          5 |          0 |          0 |          5 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Extensions\HelperMethods.cs                                         | C#       |         20 |          1 |          5 |         26 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Extensions\IdentityExtensions.cs                                    | C#       |         19 |          0 |          3 |         22 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Extensions\MultipartFormDataHelper.cs                               | C#       |        155 |          0 |         20 |        175 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Extensions\ProductQueryHelper.cs                                    | C#       |        137 |          0 |         26 |        163 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Filters\GlobalExceptionFilter.cs                                    | C#       |         32 |          0 |          5 |         37 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Global.asax.cs                                                      | C#       |         16 |          3 |          4 |         23 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Mappers\CartMapper.cs                                               | C#       |         29 |          0 |          4 |         33 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Mappers\OrderMapper.cs                                              | C#       |         49 |          0 |          4 |         53 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Mappers\ProductMapper.cs                                            | C#       |        201 |         10 |         12 |        223 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Migrations\202506191417492_InitialSetup.Designer.cs                 | C#       |         24 |          1 |          5 |         30 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Migrations\202506191417492_InitialSetup.cs                          | C#       |        314 |          0 |         22 |        336 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Migrations\202506191820160_OrderEntityAdded.Designer.cs             | C#       |         24 |          1 |          5 |         30 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Migrations\202506191820160_OrderEntityAdded.cs                      | C#       |         65 |          0 |          5 |         70 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Migrations\202506210835379_AddOrderStatusToOrder.Designer.cs        | C#       |         24 |          1 |          5 |         30 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Migrations\202506210835379_AddOrderStatusToOrder.cs                 | C#       |         16 |          0 |          3 |         19 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Migrations\Configuration.cs                                         | C#       |         17 |          3 |          4 |         24 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\CartModels\Cart.cs                                           | C#       |         56 |          0 |         11 |         67 |
